ID,predict_val
4210789#6428629,1
8813989#4435647,0
4132226#2095262,1
12056462#11152603,1
8636740#16302898,1
10372598#8967827,1
8501437#2195482,1
12527857#7542755,1
11785219#14975111,1
3483338#13088419,1
16723236#1379306,1
10003857#14927906,1
5703413#3008373,1
2043985#2738136,1
4860966#3795818,1
2627415#14564458,1
6993377#3819132,1
7039008#7857389,1
10910189#1701533,1
16157685#12371223,1
8850654#11524694,1
1320653#2926950,1
9389454#2373529,1
9919626#15118620,1
14698044#15589920,1
9940676#7384213,0
14761048#12234198,0
2900676#8501437,1
1613113#14761048,0
2296046#4210789,0
14203867#7450984,0
6993377#16261108,0
7640949#1879247,0
6299437#2095262,0
9639440#15118620,1
239127#11152603,0
17206397#4860966,1
8019104#4860966,1
4039551#1583460,1
6893958#10737616,1
4852122#12371223,0
1625051#5685697,0
7857389#12647418,0
2755148#2738136,1
9940676#16185507,0
14464235#17314392,1
1879247#16146779,0
2162671#13088419,0
6503832#14175873,0
239127#17393486,0
1171631#223599,0
14761048#3227747,1
8911032#626408,0
3409881#5693024,0
3409881#552431,0
10174202#10003857,1
11505523#15342232,0
16826697#14975111,0
1879247#10531819,0
4742054#8188698,0
13572713#5685697,0
6427070#7857389,0
2738136#2764914,0
16469438#10431177,0
14552216#302769,0
2627415#8538801,0
3318045#8152040,1
11002176#2523953,1
8652681#223599,1
9669435#10910189,0
7546982#2095262,0
12989097#8225230,0
4213889#10075031,1
4435647#12291327,1
2043985#7186820,0
17112927#15098149,0
7052551#7450984,0
4622521#16554038,1
2836323#10003857,1
2195482#15913189,0
54242#8813989,1
16740138#1320653,0
14843721#10075031,1
332148#15342232,0
8501437#26606,1
12478494#11505523,0
14933515#15118620,0
8967827#14539882,0
626408#15860902,0
5750569#1855286,0
550923#10312908,0
5703413#6310943,1
6212364#10737347,0
6355604#2770351,0
302769#197091,0
11602333#11739367,0
359563#11002176,1
4742054#1723194,0
9940676#6100152,0
11739367#1918199,0
2853893#4572220,1
5428112#13810100,1
16780333#14851372,1
6160849#2585910,1
13256177#11286047,1
3179132#13704374,1
2941921#5669626,1
13058809#9229266,1
11050100#5511322,1
6066895#8525932,1
569026#15611148,1
17107459#9844540,1
12557367#10033656,1
9691627#8224352,1
8965612#12729397,1
7230585#2096411,1
2041040#9793914,1
6124058#14909133,1
7169672#4741176,1
2354921#12833194,1
5901134#4681007,1
13225392#10280274,1
15874593#14710314,1
3739955#6081108,1
943605#12284387,1
2096411#15150123,0
2941921#8951280,0
14710314#16397540,1
11537101#8224352,0
17303987#10033656,0
9793914#1211968,0
3739955#16328288,0
10475205#4681007,0
13225392#8605589,0
15706622#569026,0
4741176#1084198,0
17086638#5669626,0
9844540#6124058,0
9238739#16588086,0
16780333#5848331,1
11050100#16785548,1
8003788#8965612,0
17184967#9793914,0
6160849#15060436,0
5901134#13144613,0
1930287#11286047,0
8642697#6081108,0
8965612#9034050,0
569026#15055636,0
7230585#6019679,0
3179132#9566138,1
4020668#4572220,1
14710314#2926770,1
